year,flow,nile
1871,3533.916667,1
1872,3664.25,1
1873,3047.5,1
1874,3808.583333,1
1875,3677.5,1
1876,3663.416667,1
1877,2667.583333,1
1878,3900.083333,1
1879,4326.666667,1
1880,3590.583333,1
1881,3147.25,1
1882,2954.083333,1
1883,3498.416667,1
1884,3142.166667,1
1885,3213.916667,1
1886,3035,1
1887,3711.75,1
1888,2521.666667,1
1889,3023.5,1
1890,3507.5,1
1891,3493.666667,1
1892,4268.75,1
1893,3635.583333,1
1894,3946.416667,1
1895,3978.166667,1
1896,3856,1
1897,3248.166667,1
1898,3479.833333,1
1899,2453,1
1900,2649.166667,1
1901,2764.916667,1
1902,2196.666667,1
1903,2973.583333,1
1904,2613.416667,1
1905,2219.333333,1
1906,2901,1
1907,2186.75,1
1908,3215.333333,1
1909,3318.25,1
1910,3063.666667,1
1911,2605.583333,1
1912,2239.75,1
1913,1441.25,1
1914,2654.166667,1
1915,2191.75,1
1916,3570.333333,1
1917,3498.166667,1
1918,2564.583333,1
1919,2434.166667,1
1920,2594.333333,1
1921,2415.166667,1
1922,2683.583333,1
1923,2733.416667,1
1924,2729.416667,1
1925,2138.083333,1
1926,2665.916667,1
1927,2306.25,1
1928,2495.416667,1
1929,3241.083333,1
1930,2334.416667,1
1871,2120,0
1872,2273.333333,0
1873,2562.5,0
1874,2543.333333,0
1875,2585.833333,0
1876,2815,0
1877,2450,0
1878,2162.5,0
1879,1932.5,0
1880,2125,0
1881,2352.5,0
1882,2303.333333,0
1883,2197.5,0
1884,2105,0
1885,2256.666667,0
1886,2054.166667,0
1887,2040,0
1888,2120.833333,0
1889,2096.666667,0
1890,2008.333333,0
1891,1812.5,0
1892,1740,0
1893,1843.333333,0
1894,2115,0
1895,2176.666667,0
1896,2208.333333,0
1897,2235.833333,0
1898,2077.5,0
1899,2316.666667,0
1900,2333.333333,0
1901,2197.5,0
1902,1941.666667,0
1903,2044.166667,0
1904,2241.666667,0
1905,2309.166667,0
1906,2332.5,0
1907,2236.666667,0
1908,2239.166667,0
1909,1892.5,0
1910,1791.666667,0
1911,1581.666667,0
1912,1765.833333,0
1913,1973.333333,0
1914,2081.666667,0
1915,2019.166667,0
1916,2645.083333,0
1917,2379.166667,0
1918,1889.166667,0
1919,1618.333333,0
1920,2035.083333,0
1921,1549.166667,0
1922,1318.333333,0
1923,1524.166667,0
1924,1509.166667,0
1925,1752.5,0
1926,1513.333333,0
1927,2150.833333,0
1928,2447,0
1929,2060.833333,0
1930,1796.666667,0